	sequences per sample	iteration	PE6	PE5	CL4	MD4	KP4	SV1	SF1	AR3	LQ2
alpha_rarefaction_10_0.txt	10	0	23.0	23.0	13.0	29.0	23.0	8.5	22.0	12.0	9.0
alpha_rarefaction_10_1.txt	10	1	55.0	55.0	23.0	9.0	23.0	9.0	29.0	55.0	55.0
alpha_rarefaction_10_2.txt	10	2	13.0	55.0	55.0	6.5	12.0	13.0	5.0	55.0	13.0
alpha_rarefaction_10_3.txt	10	3	29.0	23.0	23.0	23.0	23.0	23.0	13.0	22.0	12.0
alpha_rarefaction_10_4.txt	10	4	23.0	29.0	29.0	6.5	9.0	29.0	9.0	23.0	23.0
alpha_rarefaction_10_5.txt	10	5	23.0	13.0	13.0	29.0	23.0	8.5	13.0	23.0	9.0
alpha_rarefaction_10_6.txt	10	6	13.0	23.0	23.0	12.0	29.0	8.5	12.0	55.0	13.0
alpha_rarefaction_10_7.txt	10	7	23.0	13.0	23.0	23.0	12.0	55.0	29.0	12.0	23.0
alpha_rarefaction_10_8.txt	10	8	55.0	23.0	9.0	29.0	13.0	29.0	22.0	29.0	13.0
alpha_rarefaction_10_9.txt	10	9	23.0	13.0	55.0	13.0	23.0	23.0	6.2	22.0	13.0
alpha_rarefaction_44_0.txt	44	0	54.0	59.6666666667	140.333333333	50.3333333333	113.333333333	113.333333333	42.0	98.5	36.0
alpha_rarefaction_44_1.txt	44	1	28.5	34.6666666667	85.75	35.2	130.0	48.8571428571	42.75	38.0	41.2
alpha_rarefaction_44_2.txt	44	2	63.25	60.6666666667	90.0	44.0	108.6	51.5	31.0	131.0	31.0
alpha_rarefaction_44_3.txt	44	3	76.0	60.0	120.0	28.0	157.0	80.6	58.0	82.0	27.0
alpha_rarefaction_44_4.txt	44	4	92.0	57.6666666667	33.2	38.5	66.0	45.5	81.0	47.25	154.5
alpha_rarefaction_44_5.txt	44	5	26.2	57.25	304.0	35.5	93.25	42.5	89.0	257.0	36.5
alpha_rarefaction_44_6.txt	44	6	92.0	106.0	58.0	63.25	63.25	43.75	31.0	54.5	32.75
alpha_rarefaction_44_7.txt	44	7	35.0	91.3333333333	192.5	57.0	78.5	48.6666666667	23.2	33.1	24.0
alpha_rarefaction_44_8.txt	44	8	106.0	60.6666666667	130.0	23.0	168.333333333	91.0	49.3333333333	74.2	91.0
alpha_rarefaction_44_9.txt	44	9	83.0	64.0	45.0	29.25	91.0	101.5	27.0	75.2	57.0
alpha_rarefaction_78_0.txt	78	0	93.1428571429	71.6666666667	72.3333333333	55.3333333333	137.5	64.875	61.0	52.2727272727	49.0
alpha_rarefaction_78_1.txt	78	1	88.0	80.1	68.0	56.5	148.428571429	49.0	35.6666666667	79.8571428571	42.125
alpha_rarefaction_78_2.txt	78	2	48.0	144.2	112.5	45.0	92.75	54.8571428571	42.2	86.5	35.75
alpha_rarefaction_78_3.txt	78	3	138.0	68.2727272727	130.0	50.0	106.0	91.1666666667	51.6666666667	102.0	72.5
alpha_rarefaction_78_4.txt	78	4	81.625	116.857142857	97.0	34.3333333333	110.0	65.0	169.0	62.3	36.4285714286
alpha_rarefaction_78_5.txt	78	5	92.2	83.0	181.25	94.3333333333	186.666666667	43.0	78.2	82.0	44.0
alpha_rarefaction_78_6.txt	78	6	87.0	156.5	93.0	39.0	241.2	71.5	34.4285714286	85.6	32.5
alpha_rarefaction_78_7.txt	78	7	86.5	74.9090909091	153.0	42.6666666667	75.1	79.2	54.0	60.0	53.8571428571
alpha_rarefaction_78_8.txt	78	8	73.5	138.875	113.6	39.1111111111	157.0	51.4285714286	52.25	76.1666666667	56.2
alpha_rarefaction_78_9.txt	78	9	174.0	86.6	145.166666667	83.5	175.0	80.2	196.5	109.0	51.0
alpha_rarefaction_112_0.txt	112	0	259.0	119.0	85.25	64.5	481.25	50.0	119.333333333	128.666666667	82.8571428571
alpha_rarefaction_112_1.txt	112	1	132.142857143	122.75	132.0	63.5	231.0	64.0	42.0	122.5	44.6666666667
alpha_rarefaction_112_2.txt	112	2	85.8	127.3	112.333333333	49.0	195.125	75.5	71.5	69.1111111111	47.0
alpha_rarefaction_112_3.txt	112	3	215.5	101.5	139.875	59.0	150.0	78.5	64.6666666667	82.8571428571	57.375
alpha_rarefaction_112_4.txt	112	4	125.5	82.0666666667	123.0	83.8571428571	182.75	66.6666666667	72.5	99.0	52.4285714286
alpha_rarefaction_112_5.txt	112	5	84.9090909091	72.6666666667	126.75	112.0	129.75	92.0	56.25	117.857142857	45.0
alpha_rarefaction_112_6.txt	112	6	174.142857143	109.111111111	93.3333333333	43.0	172.1	52.75	75.75	67.1111111111	49.1111111111
alpha_rarefaction_112_7.txt	112	7	142.666666667	91.7692307692	130.545454545	62.5	218.125	60.0	86.5	73.0	52.1111111111
alpha_rarefaction_112_8.txt	112	8	208.5	141.0	97.6	40.4285714286	122.2	66.5	97.25	76.1428571429	51.25
alpha_rarefaction_112_9.txt	112	9	130.142857143	84.2307692308	100.583333333	43.5	199.111111111	113.428571429	45.9090909091	102.25	42.5
alpha_rarefaction_146_0.txt	146	0	112.090909091	74.2857142857	141.833333333	71.875	124.4375	87.625	153.75	107.0	40.0
alpha_rarefaction_146_1.txt	146	1	204.428571429	126.111111111	112.5	87.8571428571	230.0	84.2307692308	72.625	108.583333333	53.9090909091
alpha_rarefaction_146_2.txt	146	2	104.666666667	107.5	169.083333333	56.0	216.153846154	76.0	162.2	81.5	56.5714285714
alpha_rarefaction_146_3.txt	146	3	171.0	119.928571429	161.090909091	76.0	177.0	83.1428571429	49.0	77.0	52.9090909091
alpha_rarefaction_146_4.txt	146	4	173.166666667	168.333333333	119.571428571	55.0	251.0	96.25	96.0	117.428571429	35.75
alpha_rarefaction_146_5.txt	146	5	133.0	111.75	115.0	80.1666666667	142.5	78.0833333333	115.0	86.3636363636	53.6
alpha_rarefaction_146_6.txt	146	6	134.142857143	91.8	289.6	59.1	180.666666667	55.0	51.0	91.5454545455	51.0
alpha_rarefaction_146_7.txt	146	7	110.090909091	143.545454545	129.230769231	75.625	297.0	83.8333333333	100.333333333	97.5	48.7142857143
alpha_rarefaction_146_8.txt	146	8	141.0	127.571428571	152.3	84.1666666667	196.066666667	89.0	99.0	203.0	58.0
alpha_rarefaction_146_9.txt	146	9	157.666666667	119.0	167.111111111	44.5833333333	144.5	129.2	68.0	132.142857143	46.5454545455
alpha_rarefaction_180_0.txt	180	0	184.0	117.4	175.083333333	75.6	193.0	118.0	163.2	81.0	50.2727272727
alpha_rarefaction_180_1.txt	180	1	238.0	116.571428571	155.0	79.0	247.928571429	99.5	118.0	94.4285714286	68.1
alpha_rarefaction_180_2.txt	180	2	110.8	121.214285714	171.4	58.0	163.714285714	88.1111111111	81.5	115.4	50.5
alpha_rarefaction_180_3.txt	180	3	122.0	136.5	207.0	59.3	230.5	101.615384615	114.666666667	120.333333333	52.0
alpha_rarefaction_180_4.txt	180	4	170.111111111	137.5	149.789473684	81.1428571429	357.333333333	90.8333333333	138.0	83.0	50.5454545455
alpha_rarefaction_180_5.txt	180	5	142.769230769	112.0	138.333333333	85.4285714286	167.352941176	82.6666666667	101.0	116.5	57.75
alpha_rarefaction_180_6.txt	180	6	121.545454545	101.545454545	174.083333333	57.9090909091	153.956521739	145.0	90.0	118.5	52.0588235294
alpha_rarefaction_180_7.txt	180	7	241.0	154.058823529	133.4	64.0	190.526315789	75.6666666667	104.5	125.75	52.0
alpha_rarefaction_180_8.txt	180	8	350.0	169.5	195.25	80.0	230.0	109.8	111.0	107.769230769	66.0
alpha_rarefaction_180_9.txt	180	9	266.0	122.5	139.5625	55.7692307692	177.285714286	74.0	119.6	98.2727272727	61.0
alpha_rarefaction_214_0.txt	214	0	145.111111111	166.25	146.75	87.0	205.285714286	70.4	81.25	91.2307692308	58.0
alpha_rarefaction_214_1.txt	214	1	166.461538462	98.619047619	126.555555556	57.7692307692	188.157894737	95.9090909091	193.25	100.333333333	47.8125
alpha_rarefaction_214_2.txt	214	2	266.0	106.2	189.076923077	71.3333333333	247.333333333	87.0666666667	174.0	91.0625	61.1428571429
alpha_rarefaction_214_3.txt	214	3	240.0	143.230769231	95.1052631579	77.625	232.333333333	73.3333333333	105.666666667	100.5	59.4615384615
alpha_rarefaction_214_4.txt	214	4	174.625	153.75	141.8	89.1	285.789473684	92.4615384615	91.4285714286	89.8	51.3529411765
alpha_rarefaction_214_5.txt	214	5	151.090909091	111.15	126.0	68.125	201.5	81.4	164.25	102.333333333	51.6666666667
alpha_rarefaction_214_6.txt	214	6	260.0	119.4	158.315789474	56.3333333333	214.714285714	92.3636363636	97.25	102.714285714	52.6875
alpha_rarefaction_214_7.txt	214	7	236.375	185.909090909	120.15	69.25	205.25	84.375	106.111111111	163.0	49.5
alpha_rarefaction_214_8.txt	214	8	290.75	126.230769231	140.681818182	75.3	205.473684211	83.8947368421	167.2	125.75	61.3
alpha_rarefaction_214_9.txt	214	9	119.5	132.25	125.8125	98.25	166.0	92.3636363636	68.6666666667	90.4615384615	52.0
alpha_rarefaction_248_0.txt	248	0	202.25	129.214285714	173.8	60.75	212.476190476	88.2352941176	101.5	112.0	52.125
alpha_rarefaction_248_1.txt	248	1	282.428571429	121.055555556	181.5	66.8571428571	284.2	110.153846154	166.0	124.272727273	54.5714285714
alpha_rarefaction_248_2.txt	248	2	206.5	135.526315789	136.125	68.75	247.730769231	104.25	115.142857143	114.0	49.0
alpha_rarefaction_248_3.txt	248	3	275.857142857	132.928571429	152.058823529	56.0	236.8	99.6	121.0	124.272727273	55.5833333333
alpha_rarefaction_248_4.txt	248	4	271.0	132.5	149.142857143	59.0	246.217391304	95.1052631579	79.2142857143	127.0	53.3
alpha_rarefaction_248_5.txt	248	5	162.153846154	126.333333333	144.333333333	59.0666666667	254.866666667	114.8	129.0	103.153846154	53.2
alpha_rarefaction_248_6.txt	248	6	262.0	116.052631579	169.714285714	75.6666666667	164.035714286	80.2352941176	88.9090909091	97.4615384615	65.1111111111
alpha_rarefaction_248_7.txt	248	7	182.083333333	133.647058824	207.473684211	57.8333333333	202.916666667	87.4	116.666666667	130.0	48.1176470588
alpha_rarefaction_248_8.txt	248	8	212.6	147.0	172.176470588	87.5454545455	225.954545455	96.0	137.142857143	127.583333333	53.4736842105
alpha_rarefaction_248_9.txt	248	9	181.545454545	116.0	211.555555556	79.0	230.454545455	96.9090909091	107.0	117.866666667	56.2727272727
alpha_rarefaction_282_0.txt	282	0	182.4	188.111111111	149.12	86.1428571429	181.333333333	83.3125	130.0	100.166666667	53.4615384615
alpha_rarefaction_282_1.txt	282	1	180.588235294	192.076923077	146.333333333	72.7692307692	253.666666667	91.625	164.0	130.0	57.0
alpha_rarefaction_282_2.txt	282	2	370.166666667	135.0	123.44	67.5714285714	251.315789474	91.2	151.666666667	120.866666667	58.75
alpha_rarefaction_282_3.txt	282	3	240.5	146.136363636	157.833333333	77.0	248.535714286	100.0625	126.75	127.4	54.0769230769
alpha_rarefaction_282_4.txt	282	4	144.6875	142.789473684	194.636363636	90.8333333333	257.391304348	89.3	105.5	98.1764705882	53.6666666667
alpha_rarefaction_282_5.txt	282	5	310.5	143.4	196.0	68.5714285714	384.333333333	105.055555556	120.428571429	119.9375	51.25
alpha_rarefaction_282_6.txt	282	6	393.0	118.714285714	168.333333333	68.8333333333	186.375	91.0	161.428571429	155.0	52.3684210526
alpha_rarefaction_282_7.txt	282	7	268.428571429	194.882352941	181.666666667	80.0	235.857142857	102.75	80.6	110.176470588	50.4
alpha_rarefaction_282_8.txt	282	8	282.090909091	181.6	172.0	59.0	300.0	92.2	125.0	101.333333333	54.6666666667
alpha_rarefaction_282_9.txt	282	9	242.545454545	125.142857143	143.214285714	76.0	257.333333333	109.615384615	132.0	100.25	56.2
alpha_rarefaction_316_0.txt	316	0	230.0	196.076923077	166.84	85.0	237.724137931	76.0	91.2307692308	122.052631579	52.8666666667
alpha_rarefaction_316_1.txt	316	1	196.666666667	122.055555556	144.115384615	101.0	251.21875	92.2142857143	143.545454545	117.0	55.0
alpha_rarefaction_316_2.txt	316	2	182.666666667	187.4	145.0	80.3	258.565217391	88.4736842105	146.25	119.769230769	56.2307692308
alpha_rarefaction_316_3.txt	316	3	221.0	179.666666667	150.8	78.3333333333	272.954545455	98.0769230769	95.5454545455	170.3	61.1
alpha_rarefaction_316_4.txt	316	4	209.066666667	154.368421053	162.0	71.8333333333	210.823529412	107.545454545	170.5	138.4	55.4615384615
alpha_rarefaction_316_5.txt	316	5	284.090909091	178.5625	178.545454545	84.6	233.25	81.5555555556	110.0	112.714285714	54.4615384615
alpha_rarefaction_316_6.txt	316	6	191.0	157.368421053	249.4	85.0909090909	212.4	85.6470588235	98.2	119.3125	53.5714285714
