	sequences per sample	iteration	PE6	PE5	CL4	MD4	KP4	SV1	SF1	AR3	LQ2
alpha_rarefaction_10_0.txt	10	0	9.0	9.0	8.0	8.0	9.0	7.0	7.0	7.0	6.0
alpha_rarefaction_10_1.txt	10	1	10.0	10.0	9.0	6.0	9.0	6.0	8.0	10.0	10.0
alpha_rarefaction_10_2.txt	10	2	8.0	10.0	10.0	5.0	7.0	8.0	4.0	10.0	8.0
alpha_rarefaction_10_3.txt	10	3	8.0	9.0	9.0	9.0	9.0	9.0	8.0	7.0	7.0
alpha_rarefaction_10_4.txt	10	4	9.0	8.0	8.0	5.0	6.0	8.0	6.0	9.0	9.0
alpha_rarefaction_10_5.txt	10	5	9.0	8.0	8.0	8.0	9.0	7.0	8.0	9.0	6.0
alpha_rarefaction_10_6.txt	10	6	8.0	9.0	9.0	7.0	8.0	7.0	7.0	10.0	8.0
alpha_rarefaction_10_7.txt	10	7	9.0	8.0	9.0	9.0	6.0	10.0	8.0	7.0	9.0
alpha_rarefaction_10_8.txt	10	8	10.0	9.0	6.0	8.0	8.0	8.0	7.0	8.0	8.0
alpha_rarefaction_10_9.txt	10	9	9.0	8.0	10.0	8.0	9.0	9.0	6.0	7.0	8.0
alpha_rarefaction_44_0.txt	44	0	24.0	28.0	32.0	20.0	29.0	29.0	20.0	22.0	23.0
alpha_rarefaction_44_1.txt	44	1	21.0	26.0	28.0	22.0	30.0	27.0	20.0	23.0	23.0
alpha_rarefaction_44_2.txt	44	2	25.0	29.0	22.0	24.0	33.0	26.0	20.0	26.0	20.0
alpha_rarefaction_44_3.txt	44	3	25.0	30.0	25.0	16.0	31.0	30.0	19.0	25.0	18.0
alpha_rarefaction_44_4.txt	44	4	24.0	32.0	20.0	19.0	28.0	18.0	21.0	21.0	28.0
alpha_rarefaction_44_5.txt	44	5	19.0	31.0	28.0	19.0	30.0	25.0	21.0	26.0	20.0
alpha_rarefaction_44_6.txt	44	6	24.0	29.0	24.0	25.0	25.0	21.0	13.0	26.0	19.0
alpha_rarefaction_44_7.txt	44	7	22.0	28.0	30.0	22.0	26.0	26.0	16.0	24.0	18.0
alpha_rarefaction_44_8.txt	44	8	31.0	29.0	25.0	17.0	33.0	23.0	19.0	28.0	23.0
alpha_rarefaction_44_9.txt	44	9	26.0	29.0	19.0	18.0	31.0	25.0	15.0	29.0	22.0
alpha_rarefaction_78_0.txt	78	0	43.0	41.0	39.0	25.0	44.0	36.0	22.0	35.0	29.0
alpha_rarefaction_78_1.txt	78	1	38.0	45.0	38.0	31.0	48.0	32.0	27.0	37.0	29.0
alpha_rarefaction_78_2.txt	78	2	33.0	45.0	40.0	30.0	42.0	33.0	24.0	43.0	22.0
alpha_rarefaction_78_3.txt	78	3	38.0	41.0	42.0	30.0	44.0	37.0	29.0	33.0	34.0
alpha_rarefaction_78_4.txt	78	4	41.0	46.0	39.0	27.0	44.0	35.0	31.0	37.0	27.0
alpha_rarefaction_78_5.txt	78	5	37.0	44.0	41.0	31.0	50.0	33.0	32.0	36.0	29.0
alpha_rarefaction_78_6.txt	78	6	37.0	54.0	39.0	26.0	52.0	37.0	25.0	35.0	28.0
alpha_rarefaction_78_7.txt	78	7	34.0	43.0	36.0	31.0	40.0	33.0	24.0	37.0	32.0
alpha_rarefaction_78_8.txt	78	8	39.0	51.0	38.0	29.0	46.0	32.0	26.0	34.0	29.0
alpha_rarefaction_78_9.txt	78	9	42.0	46.0	46.0	31.0	43.0	34.0	34.0	32.0	27.0
alpha_rarefaction_112_0.txt	112	0	54.0	56.0	49.0	36.0	68.0	40.0	35.0	46.0	40.0
alpha_rarefaction_112_1.txt	112	1	52.0	61.0	54.0	35.0	63.0	43.0	29.0	45.0	33.0
alpha_rarefaction_112_2.txt	112	2	48.0	57.0	50.0	32.0	60.0	41.0	37.0	41.0	35.0
alpha_rarefaction_112_3.txt	112	3	49.0	55.0	52.0	38.0	60.0	41.0	33.0	40.0	36.0
alpha_rarefaction_112_4.txt	112	4	48.0	55.0	58.0	41.0	59.0	41.0	34.0	39.0	33.0
alpha_rarefaction_112_5.txt	112	5	48.0	51.0	48.0	35.0	58.0	42.0	30.0	47.0	30.0
alpha_rarefaction_112_6.txt	112	6	57.0	54.0	45.0	30.0	64.0	40.0	33.0	39.0	34.0
alpha_rarefaction_112_7.txt	112	7	56.0	56.0	56.0	34.0	65.0	41.0	34.0	48.0	37.0
alpha_rarefaction_112_8.txt	112	8	51.0	53.0	48.0	31.0	62.0	38.0	34.0	40.0	37.0
alpha_rarefaction_112_9.txt	112	9	50.0	53.0	51.0	33.0	63.0	47.0	35.0	39.0	36.0
alpha_rarefaction_146_0.txt	146	0	58.0	60.0	63.0	43.0	68.0	47.0	45.0	56.0	34.0
alpha_rarefaction_146_1.txt	146	1	63.0	60.0	57.0	45.0	76.0	53.0	41.0	59.0	40.0
alpha_rarefaction_146_2.txt	146	2	53.0	65.0	67.0	36.0	80.0	51.0	50.0	50.0	43.0
alpha_rarefaction_146_3.txt	146	3	52.0	67.0	67.0	41.0	75.0	47.0	32.0	47.0	39.0
alpha_rarefaction_146_4.txt	146	4	56.0	68.0	61.0	35.0	86.0	49.0	42.0	51.0	34.0
alpha_rarefaction_146_5.txt	146	5	59.0	65.0	58.0	38.0	72.0	51.0	40.0	52.0	40.0
alpha_rarefaction_146_6.txt	146	6	54.0	54.0	64.0	42.0	78.0	46.0	30.0	52.0	39.0
alpha_rarefaction_146_7.txt	146	7	56.0	69.0	63.0	44.0	80.0	50.0	37.0	51.0	39.0
alpha_rarefaction_146_8.txt	146	8	53.0	69.0	62.0	42.0	82.0	50.0	39.0	48.0	44.0
alpha_rarefaction_146_9.txt	146	9	62.0	67.0	62.0	37.0	71.0	48.0	38.0	52.0	37.0
alpha_rarefaction_180_0.txt	180	0	61.0	73.0	73.0	48.0	83.0	56.0	51.0	54.0	42.0
alpha_rarefaction_180_1.txt	180	1	70.0	69.0	71.0	46.0	90.0	56.0	52.0	59.0	45.0
alpha_rarefaction_180_2.txt	180	2	58.0	71.0	76.0	41.0	85.0	52.0	44.0	66.0	40.0
alpha_rarefaction_180_3.txt	180	3	65.0	75.0	66.0	44.0	83.0	61.0	47.0	58.0	45.0
alpha_rarefaction_180_4.txt	180	4	65.0	76.0	80.0	45.0	89.0	57.0	50.0	56.0	41.0
alpha_rarefaction_180_5.txt	180	5	70.0	64.0	73.0	46.0	80.0	52.0	47.0	61.0	45.0
alpha_rarefaction_180_6.txt	180	6	61.0	62.0	72.0	44.0	87.0	57.0	48.0	63.0	45.0
alpha_rarefaction_180_7.txt	180	7	76.0	82.0	77.0	45.0	91.0	54.0	46.0	64.0	44.0
alpha_rarefaction_180_8.txt	180	8	68.0	72.0	76.0	50.0	96.0	57.0	49.0	62.0	47.0
alpha_rarefaction_180_9.txt	180	9	61.0	67.0	72.0	44.0	93.0	51.0	44.0	56.0	46.0
alpha_rarefaction_214_0.txt	214	0	67.0	80.0	83.0	58.0	100.0	55.0	52.0	60.0	50.0
alpha_rarefaction_214_1.txt	214	1	76.0	75.0	74.0	46.0	95.0	59.0	53.0	59.0	45.0
alpha_rarefaction_214_2.txt	214	2	68.0	71.0	79.0	48.0	108.0	60.0	50.0	62.0	44.0
alpha_rarefaction_214_3.txt	214	3	72.0	77.0	69.0	46.0	102.0	58.0	54.0	57.0	49.0
alpha_rarefaction_214_4.txt	214	4	67.0	90.0	83.0	54.0	111.0	59.0	45.0	65.0	46.0
alpha_rarefaction_214_5.txt	214	5	69.0	76.0	81.0	49.0	101.0	58.0	48.0	61.0	43.0
alpha_rarefaction_214_6.txt	214	6	83.0	75.0	83.0	43.0	103.0	58.0	50.0	65.0	47.0
alpha_rarefaction_214_7.txt	214	7	77.0	79.0	75.0	50.0	98.0	59.0	51.0	73.0	43.0
alpha_rarefaction_214_8.txt	214	8	65.0	75.0	85.0	50.0	96.0	64.0	55.0	64.0	46.0
alpha_rarefaction_214_9.txt	214	9	64.0	81.0	72.0	51.0	90.0	58.0	43.0	57.0	46.0
alpha_rarefaction_248_0.txt	248	0	83.0	79.0	94.0	48.0	104.0	66.0	55.0	64.0	48.0
alpha_rarefaction_248_1.txt	248	1	78.0	82.0	93.0	45.0	109.0	67.0	55.0	67.0	49.0
alpha_rarefaction_248_2.txt	248	2	79.0	88.0	77.0	45.0	120.0	68.0	53.0	66.0	46.0
alpha_rarefaction_248_3.txt	248	3	79.0	80.0	80.0	48.0	109.0	59.0	55.0	67.0	48.0
alpha_rarefaction_248_4.txt	248	4	88.0	77.0	86.0	51.0	119.0	69.0	56.0	70.0	50.0
alpha_rarefaction_248_5.txt	248	5	79.0	83.0	86.0	50.0	103.0	62.0	59.0	65.0	48.0
alpha_rarefaction_248_6.txt	248	6	94.0	81.0	91.0	50.0	105.0	64.0	52.0	64.0	50.0
alpha_rarefaction_248_7.txt	248	7	80.0	83.0	98.0	52.0	108.0	64.0	58.0	67.0	46.0
alpha_rarefaction_248_8.txt	248	8	80.0	73.0	88.0	58.0	113.0	65.0	57.0	69.0	50.0
alpha_rarefaction_248_9.txt	248	9	79.0	79.0	96.0	49.0	111.0	60.0	59.0	71.0	48.0
alpha_rarefaction_282_0.txt	282	0	87.0	83.0	94.0	50.0	109.0	63.0	65.0	69.0	50.0
alpha_rarefaction_282_1.txt	282	1	90.0	94.0	88.0	55.0	122.0	68.0	59.0	73.0	51.0
alpha_rarefaction_282_2.txt	282	2	85.0	92.0	89.0	54.0	113.0	66.0	65.0	74.0	49.0
alpha_rarefaction_282_3.txt	282	3	93.0	97.0	87.0	54.0	127.0	71.0	65.0	78.0	49.0
alpha_rarefaction_282_4.txt	282	4	80.0	93.0	103.0	57.0	120.0	69.0	63.0	69.0	50.0
alpha_rarefaction_282_5.txt	282	5	96.0	86.0	100.0	55.0	131.0	72.0	54.0	76.0	49.0
